"","date","stockID","factorscore"
"152",2015-11-09,"EQ000619",-1.97092559141204
"153",2015-11-09,"EQ000623",-1.69286996598288
"154",2015-11-09,"EQ000625",-2.4202562097536
"155",2015-11-09,"EQ000626",-9.61420514007041
"156",2015-11-09,"EQ000627",-9.76575531709267
"157",2015-11-09,"EQ000628",-7.39370733351697
"158",2015-11-09,"EQ000630",-2.44771701246338
"159",2015-11-09,"EQ000631",-3.30016933365239
"160",2015-11-09,"EQ000632",-3.67758031098128
"161",2015-11-09,"EQ000635",-1.34488560555265
"162",2015-11-09,"EQ000636",-2.2452168278692
"163",2015-11-09,"EQ000637",-4.71738242851147
"164",2015-11-09,"EQ000638",-26.8341419546482
"165",2015-11-09,"EQ000639",-4.17730090452306
"166",2015-11-09,"EQ000650",-5.93466360357506
"167",2015-11-09,"EQ000651",-2.61869084585826
"168",2015-11-09,"EQ000652",-4.43071764436287
"169",2015-11-09,"EQ000655",-1.89910817607733
"170",2015-11-09,"EQ000661",-9.28215548070749
"171",2015-11-09,"EQ000663",-3.35356524690506
"172",2015-11-09,"EQ000665",-2.26396060423483
"173",2015-11-09,"EQ000666",-2.65717997043894
"174",2015-11-09,"EQ000667",-2.49035346499686
"175",2015-11-09,"EQ000668",-5.31274683255637
"176",2015-11-09,"EQ000671",-3.15487357669256
"177",2015-11-09,"EQ000678",-3.52255747762005
"178",2015-11-09,"EQ000679",-3.76620939378111
"179",2015-11-09,"EQ000680",-2.43669347451623
"180",2015-11-09,"EQ000682",-4.50967418805892
"181",2015-11-09,"EQ000683",-1.50406845822749
"182",2015-11-09,"EQ000685",-2.39739205897325
"183",2015-11-09,"EQ000686",-3.22603344905445
"184",2015-11-09,"EQ000687",-12.2649848170608
"185",2015-11-09,"EQ000690",-3.6920376984425
"186",2015-11-09,"EQ000692",-2.97506836691128
"187",2015-11-09,"EQ000695",-12.9510970827802
"188",2015-11-09,"EQ000698",-1.30138392674048
"189",2015-11-09,"EQ000700",-3.28645740988238
"190",2015-11-09,"EQ000701",-2.56760510434557
"191",2015-11-09,"EQ000702",-7.44227801463993
"192",2015-11-09,"EQ000705",-3.8870043069263
"193",2015-11-09,"EQ000707",-2.56289559287672
"194",2015-11-09,"EQ000708",-1.4647252067442
"195",2015-11-09,"EQ000709",-0.846263842070169
"196",2015-11-09,"EQ000710",-31.624944098039
"197",2015-11-09,"EQ000712",-8.67033219840044
"198",2015-11-09,"EQ000713",-2.67709724545526
"199",2015-11-09,"EQ000715",-3.03820137312969
"200",2015-11-09,"EQ000718",-5.47371857035078
"201",2015-11-09,"EQ000721",-6.00125809270459
"202",2015-11-09,"EQ000723",-6.89508236596171
"203",2015-11-09,"EQ000725",-1.40582269974827
"204",2015-11-09,"EQ000726",-1.8439246513744
"205",2015-11-09,"EQ000727",-2.06951702563961
"206",2015-11-09,"EQ000728",-2.60682322046678
"207",2015-11-09,"EQ000729",-1.8923830547613
"208",2015-11-09,"EQ000731",-2.16741304711947
"209",2015-11-09,"EQ000733",-3.71060600669099
"210",2015-11-09,"EQ000735",-3.83982467326213
"211",2015-11-09,"EQ000738",-9.37697772748418
"212",2015-11-09,"EQ000739",-3.91364041141405
"213",2015-11-09,"EQ000748",-8.59605130056167
"214",2015-11-09,"EQ000752",-5.56133223526152
"215",2015-11-09,"EQ000753",-4.41468284713299
"216",2015-11-09,"EQ000756",-2.91035702586794
"217",2015-11-09,"EQ000758",-3.45117279884148
"218",2015-11-09,"EQ000759",-1.90948867479486
"219",2015-11-09,"EQ000761",-1.09158136925767
"220",2015-11-09,"EQ000762",-6.56260600376947
"221",2015-11-09,"EQ000766",-4.96816743221843
"222",2015-11-09,"EQ000768",-5.44726393731806
"223",2015-11-09,"EQ000776",-2.00483869184171
"224",2015-11-09,"EQ000777",-12.4518213930005
"225",2015-11-09,"EQ000778",-1.66374997959795
"226",2015-11-09,"EQ000780",-1.36713787490514
"227",2015-11-09,"EQ000782",-6.13859216130033
"228",2015-11-09,"EQ000783",-3.75924373908033
"229",2015-11-09,"EQ000785",-3.54237104715545
"230",2015-11-09,"EQ000786",-2.57230242998482
